ID,Name,Party,Campaign Finance Overhaul,Unemployment and Tax Benefits,Fiscal 2003 Budget Resolution,Permanent Tax Cuts,Food Stamps,Nuclear Waste,Fiscal 2003 Defense Authorization,Abortions Overseas,Defense Authorization Recommitment,Welfare Renewal,Estate Tax Repeal,Married Couples Tax Relief,Late Term Abortion Ban,Homeland Sec/Union Memb,Homeland Sec/Civil Service Emp,Homeland Sec/Whistleblower Protections,Andean Trade,Abortion Service Refusals,Medical Malpractice Awards,Military Support for UN Resolution
17,Barrett,D,Y,N,N,N,Y,Y,N,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,N,Y
18,Bartlett,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,N,N,Y,Y
19,Barton,R,N,Y,Y,Y,N,Y,Y,N,N,,Y,Y,Y,Y,N,N,Y,N,Y,N
20,Bass,R,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,N
21,Becerra,D,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,Y
22,Bentsen,D,Y,N,N,N,Y,Y,,Y,Y,Y,N,N,N,N,Y,Y,Y,Y,N,Y
23,Bereuter,R,Y,Y,Y,Y,N,Y,Y,N,N,N,N,Y,Y,Y,N,N,Y,N,Y,N
24,Berkley,D,Y,N,N,N,Y,N,N,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,N
25,Berman,D,Y,,N,N,Y,N,N,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,N
26,Berry,D,Y,N,N,N,Y,Y,N,N,Y,Y,Y,N,Y,N,Y,N,N,N,N,Y
27,Biggert,R,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,N
28,Bilirakis,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
29,Bishop,D,Y,N,N,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,N,Y
30,Blagojevich,D,Y,N,,N,,Y,N,Y,Y,Y,N,,N,N,Y,Y,N,Y,N,Y
31,Blumenauer,D,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,Y
32,Blunt,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,,,,,N,Y,N
33,Boehlert,R,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,N,Y,Y,Y,N
34,Boehner,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
35,Bonilla,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
36,Bonior,D,Y,N,N,N,Y,N,N,Y,Y,Y,N,Y,,N,Y,Y,N,Y,,N
37,Bono,R,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,,Y,Y,N,N,Y,N,Y,N
38,Boozman,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
39,Borski,D,Y,N,N,N,Y,Y,N,N,Y,Y,N,N,Y,N,Y,Y,N,N,N,Y
40,Boswell,D,Y,N,N,N,Y,N,N,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,N,N
41,Boucher,D,Y,N,N,N,Y,Y,,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,Y
42,Boyd,D,Y,N,N,N,Y,Y,N,Y,N,Y,N,N,Y,Y,Y,N,N,Y,Y,Y
43,Brady K.,R,N,,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
44,Brady R.,D,Y,N,N,N,Y,Y,N,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,Y
45,Brown C.,D,Y,N,N,N,Y,Y,N,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,Y
46,Brown H.,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
47,Brown S.,D,Y,N,N,N,Y,Y,N,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,Y
48,Bryant,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
49,Burr,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
50,Burton,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
51,Buyer,R,N,Y,Y,Y,N,Y,Y,N,N,,Y,Y,Y,Y,N,N,Y,N,Y,N
52,Callahan ,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,,,N
53,Calvert,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
54,Camp,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
55,Cannon,R,N,Y,Y,Y,N,Y,Y,,,N,Y,Y,Y,Y,N,N,Y,N,Y,N
56,Cantor,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
57,Capito,R,Y,Y,Y,Y,N,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,N
58,Capps,D,Y,N,N,N,Y,N,N,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,Y
59,Capuano,D,Y,N,N,N,Y,N,N,Y,Y,Y,,N,N,N,Y,Y,N,Y,N,Y
60,Cardin,D,Y,N,N,N,Y,Y,N,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,Y
61,Carson B.,D,Y,N,N,N,Y,Y,N,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N
62,Carson J.,D,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,Y
63,Castle,R,Y,Y,Y,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,N
64,Chabot,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
65,Chambliss,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
66,Clay,D,Y,N,N,N,Y,Y,N,,,Y,Y,N,N,N,Y,Y,N,Y,N,Y
67,Clayton,D,Y,N,N,N,Y,Y,N,Y,Y,Y,N,,N,N,Y,Y,N,Y,N,Y
68,Clement,D,Y,N,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,N,N
69,Clyburn,D,Y,N,N,N,Y,Y,N,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,Y
70,Coble,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,N,N,N,N
71,Collins M.,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
72,Combest,R,N,Y,Y,Y,N,Y,Y,,,,,,Y,Y,,,,N,Y,N
73,Condit,D,Y,N,N,Y,,N,N,Y,Y,Y,Y,Y,,N,Y,Y,N,Y,N,Y
74,Conyers,D,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,Y
75,Cooksey,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,
76,Costello,D,Y,N,N,N,Y,Y,N,N,Y,Y,Y,Y,Y,N,Y,Y,N,N,N,Y
77,Cox ?,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
78,Coyne,D,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,Y
79,Cramer,D,Y,Y,N,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N
80,Crane,R,N,Y,Y,Y,,,,,,N,Y,Y,Y,Y,N,N,Y,N,Y,N
81,Crenshaw,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
82,Crowley,D,Y,N,N,N,Y,N,N,Y,Y,Y,N,N,Y,N,Y,Y,N,Y,N,Y
83,Cubin,R,,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
84,Culberson,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
85,Cummings,D,Y,N,N,N,Y,Y,N,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,Y
86,Cunningham,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,,N,Y,N,Y,N
87,Davis D.,D,Y,N,N,N,Y,Y,N,Y,Y,Y,N,N,N,N,Y,Y,N,Y,N,N
88,Davis Jim,D,Y,N,N,N,Y,Y,,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,Y
89,Davis Jo Ann,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,N,N,Y,N
90,Davis S.,D,Y,N,N,N,Y,N,N,Y,Y,Y,N,Y,N,N,Y,Y,Y,Y,N,Y
91,Davis T.,R,N,Y,Y,Y,Y,N,Y,N,N,,Y,Y,Y,Y,N,N,Y,N,Y,N
92,Deal,R,N,Y,Y,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N
93,DeFazio,D,Y,N,N,N,Y,N,N,Y,Y,Y,N,Y,N,N,Y,Y,N,Y,N,Y
